"archive_date","adult_child","hospital_name","wait_0_6_months","wait_6_12_months","wait_12_18_months","wait_18_plus_months","total"
"2024-05-30","Child","Croom Orthopaedic Hospital",214,17,2,2,236
"2024-05-30","Child","Cork University Maternity Hospital",54,0,0,0,54
"2024-05-30","Child","Cork University Hospital",3555,1583,612,370,6120
"2024-05-30","Child","Coombe Women and Infants University Hospital",27,14,7,0,47
"2024-05-30","Child","Children's Health Ireland",19830,10292,6538,5002,41662
"2024-05-30","Child","Cavan General Hospital",850,291,30,2,1173
"2024-05-30","Child","Beaumont Hospital",60,8,3,0,71
"2024-05-30","Adult","Wexford General Hospital",2986,725,112,47,3870
"2024-05-30","Adult","University Hospital Waterford",18480,9688,4507,5070,37745
"2024-05-30","Adult","University Hospital Limerick",14720,3932,1317,924,20891
"2024-05-30","Adult","University Hospital Kerry",5917,2426,770,204,9317
"2024-05-30","Adult","Tipperary University Hospital",2228,875,264,16,3383
"2024-05-30","Adult","Tallaght University Hospital",14751,8521,4302,3407,30981
"2024-05-30","Adult","St. Vincent's University Hospital",19467,7324,2815,992,30597
"2024-05-30","Adult","St. Michael's Hospital",2731,956,369,314,4370
"2024-05-30","Adult","St. Luke's General Hospital Kilkenny",3753,1330,678,231,5992
"2024-05-30","Adult","St. John's Hospital Limerick",378,268,58,0,703
"2024-05-30","Adult","St. James's Hospital",17377,4997,1507,1080,24960
"2024-05-30","Adult","St. Columcille's Hospital",2218,1476,1193,4299,9185
"2024-05-30","Adult","South Infirmary Victoria University Hospital",12099,6713,3046,3945,25803
"2024-05-30","Adult","Sligo University Hospital",7499,2146,860,1401,11905
"2024-05-30","Adult","Royal Victoria Eye and Ear Hospital",5339,2802,1727,1479,11347
"2024-05-30","Adult","Rotunda Hospital",3741,808,1,0,4550
"2024-05-30","Adult","Roscommon University Hospital",2808,652,168,112,3740
"2024-05-30","Adult","Portiuncula University Hospital",2014,363,142,73,2592
"2024-05-30","Adult","Our Lady's Hospital Navan",3705,1873,651,105,6334
"2024-05-30","Adult","Our Lady of Lourdes Hospital Drogheda",8554,3257,429,47,12286
"2024-05-30","Adult","Nenagh Hospital",382,261,201,88,932
"2024-05-30","Adult","National Orthopaedic Hospital Cappagh",2560,1968,570,234,5332
"2024-05-30","Adult","National Maternity Hospital (Holles Street)",2624,534,123,1,3282
"2024-05-30","Adult","Naas General Hospital",6328,2804,1011,146,10288
"2024-05-30","Adult","Midland Regional Hospital Tullamore",8859,2012,251,0,11122
"2024-05-30","Adult","Midland Regional Hospital Portlaoise",2356,1001,363,389,4109
"2024-05-30","Adult","Midland Regional Hospital Mullingar",4681,2080,1106,1173,9039
"2024-05-30","Adult","Mercy University Hospital",2988,1344,569,808,5708
"2024-05-30","Adult","Mayo University Hospital",3769,1095,263,217,5343
"2024-05-30","Adult","Mater Misericordiae University Hospital",22650,7106,3314,4853,37924
"2024-05-30","Adult","Mallow General Hospital",2401,861,337,91,3690
"2024-05-30","Adult","Louth County Hospital",1478,344,0,1,1824
"2024-05-30","Adult","Letterkenny University Hospital",8179,2432,983,1801,13394
"2024-05-30","Adult","Galway University Hospitals",21837,8616,4210,6333,40996
"2024-05-30","Adult","Ennis Hospital",497,335,274,75,1181
"2024-05-30","Adult","Croom Orthopaedic Hospital",3138,1291,477,103,5009
"2024-05-30","Adult","Cork University Maternity Hospital",2159,47,5,0,2211
"2024-05-30","Adult","Cork University Hospital",15456,6809,3523,4979,30767
"2024-05-30","Adult","Coombe Women and Infants University Hospital",1507,761,150,19,2437
